"[run number]","template","pherosim-amount","pherotimer","density","rock-stigmergy","pheromone-stigmergy","pheromone-sim-stigmergy","number","template-radius","template-width","pheromone-following","pheromone-drop-concentration","ant-stigmergy","[step]","entrance / amount-of-flood-fills"
"66","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.8960244648318043"
"67","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9398572884811417"
"65","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.746177370030581"
"68","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9245667686034659"
"69","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.8501529051987767"
"70","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9184505606523955"
"63","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.7400611620795107"
"71","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.7726809378185525"
"72","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.908256880733945"
"73","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.926605504587156"
"74","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.8583078491335372"
"75","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9622833843017329"
"76","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.8073394495412844"
"78","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9174311926605505"
"79","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.944954128440367"
"77","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.72782874617737"
"81","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9459734964322121"
"80","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.7696228338430173"
"82","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9306829765545361"
"83","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.6452599388379205"
"84","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9694189602446484"
"85","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.8797145769622834"
"87","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.8460754332313966"
"89","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.963302752293578"
"91","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9826707441386341"
"90","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.8695208970438328"
"86","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.48521916411824667"
"88","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.6982670744138634"
"92","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9867482161060143"
"93","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9347604485219164"
"95","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9500509683995922"
"96","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9398572884811417"
"94","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.5667686034658511"
"97","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","1"
"98","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.8256880733944955"
